I/mA	Ewe/V	P/W					Current density 	Voltage	Power density		
4.63E+03	-3.76E-01	-1.74E+00									
4.68E+03	-3.72E-01	-1.74E+00									
4.73E+03	-3.68E-01	-1.74E+00									
4.78E+03	-3.65E-01	-1.74E+00									
4.83E+03	-3.60E-01	-1.74E+00									
4.88E+03	-3.57E-01	-1.74E+00									
4.94E+03	-3.52E-01	-1.74E+00									
4.99E+03	-3.48E-01	-1.73E+00									
5.04E+03	-3.43E-01	-1.73E+00									
5.09E+03	-3.37E-01	-1.71E+00									
5.14E+03	-3.32E-01	-1.71E+00									
5.20E+03	-3.28E-01	-1.71E+00									
5.25E+03	-3.24E-01	-1.70E+00									
5.30E+03	-3.20E-01	-1.70E+00									
5.35E+03	-3.16E-01	-1.69E+00									
5.40E+03	-3.12E-01	-1.69E+00									
5.45E+03	-3.08E-01	-1.68E+00									
5.50E+03	-3.03E-01	-1.67E+00									
5.55E+03	-2.97E-01	-1.65E+00									
5.61E+03	-2.92E-01	-1.64E+00									
5.66E+03	-2.87E-01	-1.62E+00									
5.71E+03	-2.81E-01	-1.61E+00									
5.76E+03	-2.75E-01	-1.58E+00									
5.81E+03	-2.67E-01	-1.55E+00									
5.86E+03	-2.63E-01	-1.54E+00									
5.91E+03	-2.59E-01	-1.53E+00									
5.96E+03	-2.54E-01	-1.52E+00									
5.98E+03	-2.51E-01	-1.50E+00									
0.00E+00	-8.07E-01	0.00E+00									
0.00E+00	-8.84E-01	0.00E+00									
0.00E+00	-8.96E-01	0.00E+00									
0.00E+00	-9.01E-01	0.00E+00									
0.00E+00	-9.05E-01	0.00E+00									
0.00E+00	-9.08E-01	0.00E+00									
3.81E+01	-9.09E-01	-3.46E-02									
8.90E+01	-8.48E-01	-7.55E-02									
1.40E+02	-7.98E-01	-1.12E-01									
1.93E+02	-7.76E-01	-1.50E-01									
2.47E+02	-7.62E-01	-1.88E-01									
3.01E+02	-7.50E-01	-2.26E-01									
3.53E+02	-7.40E-01	-2.61E-01									
4.04E+02	-7.31E-01	-2.95E-01									
4.57E+02	-7.23E-01	-3.30E-01									
5.10E+02	-7.15E-01	-3.64E-01									
5.62E+02	-7.07E-01	-3.97E-01									
6.13E+02	-7.00E-01	-4.29E-01									
6.63E+02	-6.93E-01	-4.59E-01									
7.18E+02	-6.86E-01	-4.92E-01									
7.74E+02	-6.79E-01	-5.26E-01									
8.25E+02	-6.72E-01	-5.55E-01									
8.76E+02	-6.66E-01	-5.83E-01									
9.30E+02	-6.60E-01	-6.14E-01									
9.81E+02	-6.54E-01	-6.41E-01									
1.03E+03	-6.47E-01	-6.67E-01									
1.08E+03	-6.41E-01	-6.94E-01									
1.13E+03	-6.36E-01	-7.20E-01									
1.18E+03	-6.31E-01	-7.47E-01									
1.24E+03	-6.27E-01	-7.75E-01									
1.29E+03	-6.21E-01	-8.00E-01									
1.34E+03	-6.17E-01	-8.28E-01									
1.39E+03	-6.11E-01	-8.51E-01									
1.45E+03	-6.07E-01	-8.77E-01									
1.50E+03	-6.01E-01	-9.00E-01									
1.55E+03	-5.97E-01	-9.23E-01									
1.60E+03	-5.92E-01	-9.47E-01									
1.65E+03	-5.87E-01	-9.71E-01									
1.71E+03	-5.82E-01	-9.93E-01									
1.76E+03	-5.77E-01	-1.01E+00									
1.81E+03	-5.73E-01	-1.04E+00									
1.86E+03	-5.68E-01	-1.06E+00									
1.91E+03	-5.64E-01	-1.08E+00									
1.96E+03	-5.59E-01	-1.10E+00									
2.01E+03	-5.54E-01	-1.12E+00									
2.07E+03	-5.50E-01	-1.14E+00									
2.12E+03	-5.45E-01	-1.15E+00									
2.17E+03	-5.40E-01	-1.17E+00									
