I/mA	Ewe/V	P/W						Current density	Voltage	Power Density		
1.87E+03	-4.86E-01	-9.10E-01			5140.145	-0.34066331	-1.7510588	1028.029	0.34066331	350.21176	5.140145	0.34066331
1.92E+03	-4.83E-01	-9.28E-01			5191.5718	-0.33713114	-1.7502406	1038.31436	0.33713114	350.04812	5.1915718	0.33713114
1.98E+03	-4.79E-01	-9.47E-01			5241.9814	-0.33352259	-1.7483193	1048.39628	0.33352259	349.66386	5.2419814	0.33352259
2.03E+03	-4.74E-01	-9.65E-01			5292.8999	-0.32960856	-1.7445852	1058.57998	0.32960856	348.91704	5.2928999	0.32960856
2.09E+03	-4.70E-01	-9.81E-01			5343.8184	-0.32575178	-1.7407583	1068.76368	0.32575178	348.15166	5.3438184	0.32575178
2.14E+03	-4.66E-01	-9.99E-01			5396.2637	-0.32153228	-1.735073	1079.25274	0.32153228	347.0146	5.3962637	0.32153228
2.20E+03	-4.62E-01	-1.01E+00			5448.2002	-0.31790462	-1.732008	1089.64004	0.31790462	346.4016	5.4482002	0.31790462
2.25E+03	-4.58E-01	-1.03E+00			5499.1196	-0.31362781	-1.7246768	1099.82392	0.31362781	344.93536	5.4991196	0.31362781
2.30E+03	-4.54E-01	-1.04E+00			5554.6201	-0.30961832	-1.7198122	1110.92402	0.30961832	343.96244	5.5546201	0.30961832
2.35E+03	-4.50E-01	-1.06E+00			5608.0845	-0.30495965	-1.7102395	1121.6169	0.30495965	342.0479	5.6080845	0.30495965
2.40E+03	-4.46E-01	-1.07E+00			5662.5674	-0.30056831	-1.7019883	1132.51348	0.30056831	340.39766	5.6625674	0.30056831
2.45E+03	-4.42E-01	-1.08E+00			5714.5039	-0.29581419	-1.6904314	1142.90078	0.29581419	338.08628	5.7145039	0.29581419
2.50E+03	-4.38E-01	-1.10E+00			5764.9126	-0.29144192	-1.6801372	1152.98252	0.29144192	336.02744	5.7649126	0.29144192
2.56E+03	-4.35E-01	-1.11E+00			5817.3589	-0.28779519	-1.6742079	1163.47178	0.28779519	334.84158	5.8173589	0.28779519
2.61E+03	-4.31E-01	-1.12E+00			5868.2764	-0.28279284	-1.6595066	1173.65528	0.28279284	331.90132	5.8682764	0.28279284
2.66E+03	-4.27E-01	-1.13E+00			5919.1958	-0.27828693	-1.6472348	1183.83916	0.27828693	329.44696	5.9191958	0.27828693
2.71E+03	-4.22E-01	-1.15E+00			5970.1133	-0.27343735	-1.632452	1194.02266	0.27343735	326.4904	5.9701133	0.27343735
2.76E+03	-4.17E-01	-1.15E+00			6020.5229	-0.26935148	-1.6216367	1204.10458	0.26935148	324.32734	6.0205229	0.26935148
2.82E+03	-4.13E-01	-1.16E+00			6070.9316	-0.26415822	-1.6036865	1214.18632	0.26415822	320.7373	6.0709316	0.26415822
2.87E+03	-4.09E-01	-1.17E+00			6124.396	-0.25927043	-1.5878748	1224.8792	0.25927043	317.57496	6.124396	0.25927043
2.92E+03	-4.05E-01	-1.18E+00			6176.8423	-0.25394353	-1.5685692	1235.36846	0.25394353	313.71384	6.1768423	0.25394353
2.97E+03	-4.01E-01	-1.19E+00			6199.2461	-0.25123236	-1.5574512	1239.84922	0.25123236	311.49024	6.1992461	0.25123236
3.02E+03	-3.98E-01	-1.20E+00										
3.08E+03	-3.94E-01	-1.21E+00										
3.13E+03	-3.91E-01	-1.22E+00										
3.18E+03	-3.88E-01	-1.23E+00										
3.23E+03	-3.85E-01	-1.24E+00										
3.28E+03	-3.81E-01	-1.25E+00										
3.34E+03	-3.79E-01	-1.26E+00										
3.39E+03	-3.76E-01	-1.27E+00										
3.44E+03	-3.72E-01	-1.28E+00										
3.49E+03	-3.69E-01	-1.29E+00										
3.54E+03	-3.65E-01	-1.29E+00										
3.59E+03	-3.61E-01	-1.30E+00										
3.64E+03	-3.55E-01	-1.29E+00										
3.70E+03	-3.48E-01	-1.29E+00										
3.75E+03	-3.40E-01	-1.27E+00										
3.80E+03	-3.34E-01	-1.27E+00										
3.85E+03	-3.29E-01	-1.27E+00										
3.90E+03	-3.23E-01	-1.26E+00										
3.95E+03	-3.17E-01	-1.26E+00										
4.00E+03	-3.11E-01	-1.24E+00										
4.06E+03	-3.04E-01	-1.23E+00										
4.11E+03	-2.98E-01	-1.22E+00										
4.16E+03	-2.93E-01	-1.22E+00										
4.21E+03	-2.89E-01	-1.22E+00										
4.26E+03	-2.85E-01	-1.22E+00										
4.31E+03	-2.82E-01	-1.22E+00										
4.37E+03	-2.80E-01	-1.22E+00										
4.42E+03	-2.77E-01	-1.23E+00										
4.47E+03	-2.75E-01	-1.23E+00										
4.52E+03	-2.73E-01	-1.23E+00										
4.58E+03	-2.71E-01	-1.24E+00										
4.63E+03	-2.68E-01	-1.24E+00										
4.68E+03	-2.66E-01	-1.24E+00										
4.73E+03	-2.63E-01	-1.24E+00										
4.78E+03	-2.59E-01	-1.24E+00										
4.81E+03	-2.51E-01	-1.21E+00										
0.00E+00	-7.85E-01	0.00E+00										
0.00E+00	-8.91E-01	0.00E+00										
0.00E+00	-9.04E-01	0.00E+00										
0.00E+00	-9.11E-01	0.00E+00										
0.00E+00	-9.16E-01	0.00E+00										
0.00E+00	-9.20E-01	0.00E+00										
4.53E+01	-9.20E-01	-4.17E-02										
9.62E+01	-8.27E-01	-7.96E-02										
1.47E+02	-7.77E-01	-1.14E-01										
1.98E+02	-7.52E-01	-1.49E-01										
2.50E+02	-7.32E-01	-1.83E-01										
3.03E+02	-7.18E-01	-2.18E-01										
3.55E+02	-7.04E-01	-2.50E-01										
4.06E+02	-6.94E-01	-2.81E-01										
4.57E+02	-6.83E-01	-3.12E-01										
5.09E+02	-6.73E-01	-3.42E-01										
5.60E+02	-6.64E-01	-3.72E-01										
6.11E+02	-6.57E-01	-4.01E-01										
6.63E+02	-6.49E-01	-4.30E-01										
7.14E+02	-6.42E-01	-4.58E-01										
7.64E+02	-6.35E-01	-4.86E-01										
8.15E+02	-6.29E-01	-5.13E-01										
8.66E+02	-6.24E-01	-5.40E-01										
9.22E+02	-6.18E-01	-5.70E-01										
9.72E+02	-6.13E-01	-5.96E-01										
1.02E+03	-6.07E-01	-6.22E-01										
1.08E+03	-6.02E-01	-6.48E-01										
1.13E+03	-5.98E-01	-6.74E-01										
1.18E+03	-5.93E-01	-6.99E-01										
1.23E+03	-5.88E-01	-7.23E-01										
1.28E+03	-5.84E-01	-7.49E-01										
1.33E+03	-5.80E-01	-7.74E-01										
1.38E+03	-5.76E-01	-7.97E-01										
1.44E+03	-5.72E-01	-8.21E-01										
1.49E+03	-5.68E-01	-8.44E-01										
1.54E+03	-5.64E-01	-8.67E-01										
1.59E+03	-5.60E-01	-8.90E-01										
1.64E+03	-5.56E-01	-9.13E-01										
1.69E+03	-5.53E-01	-9.35E-01										
1.74E+03	-5.49E-01	-9.56E-01										
1.79E+03	-5.46E-01	-9.80E-01										
1.85E+03	-5.42E-01	-1.00E+00										
1.90E+03	-5.39E-01	-1.02E+00										
1.95E+03	-5.35E-01	-1.04E+00										
2.00E+03	-5.32E-01	-1.06E+00										
2.05E+03	-5.28E-01	-1.08E+00										
2.10E+03	-5.25E-01	-1.10E+00										
2.16E+03	-5.21E-01	-1.12E+00										
2.21E+03	-5.18E-01	-1.15E+00										
2.26E+03	-5.15E-01	-1.16E+00										
2.32E+03	-5.11E-01	-1.18E+00										
2.37E+03	-5.08E-01	-1.20E+00										
2.42E+03	-5.05E-01	-1.22E+00										
2.47E+03	-5.02E-01	-1.24E+00										
2.52E+03	-4.99E-01	-1.26E+00										
2.57E+03	-4.95E-01	-1.27E+00										
2.62E+03	-4.92E-01	-1.29E+00										
2.68E+03	-4.89E-01	-1.31E+00										
2.73E+03	-4.86E-01	-1.33E+00										
2.78E+03	-4.82E-01	-1.34E+00										
2.83E+03	-4.79E-01	-1.36E+00										
2.89E+03	-4.76E-01	-1.37E+00										
2.94E+03	-4.73E-01	-1.39E+00										
2.99E+03	-4.69E-01	-1.40E+00										
3.04E+03	-4.66E-01	-1.42E+00										
3.09E+03	-4.63E-01	-1.43E+00										
3.14E+03	-4.59E-01	-1.44E+00										
3.19E+03	-4.56E-01	-1.46E+00										
3.25E+03	-4.53E-01	-1.47E+00										
3.30E+03	-4.50E-01	-1.48E+00										
3.35E+03	-4.47E-01	-1.49E+00										
3.40E+03	-4.43E-01	-1.51E+00										
3.45E+03	-4.40E-01	-1.52E+00										
3.50E+03	-4.37E-01	-1.53E+00										
3.56E+03	-4.33E-01	-1.54E+00										
3.61E+03	-4.30E-01	-1.55E+00										
3.66E+03	-4.26E-01	-1.56E+00										
3.71E+03	-4.23E-01	-1.57E+00										
3.76E+03	-4.20E-01	-1.58E+00										
3.81E+03	-4.16E-01	-1.59E+00										
3.86E+03	-4.13E-01	-1.60E+00										
