I/mA	Ewe/V	P/W						Current density 	Voltage	Power density		
0.00E+00	-9.58E-01	0.00E+00										
0.00E+00	-9.61E-01	0.00E+00										
0.00E+00	-9.64E-01	0.00E+00										
5.09E+01	-9.64E-01	-4.90E-02										
1.02E+02	-8.67E-01	-8.87E-02										
1.55E+02	-8.30E-01	-1.29E-01										
2.06E+02	-8.08E-01	-1.67E-01										
2.58E+02	-7.93E-01	-2.04E-01										
3.09E+02	-7.81E-01	-2.41E-01										
3.59E+02	-7.70E-01	-2.77E-01										
4.11E+02	-7.60E-01	-3.12E-01										
4.62E+02	-7.52E-01	-3.47E-01										
5.13E+02	-7.43E-01	-3.81E-01										
5.66E+02	-7.35E-01	-4.16E-01										
6.17E+02	-7.28E-01	-4.49E-01										
6.67E+02	-7.20E-01	-4.81E-01										
7.18E+02	-7.14E-01	-5.12E-01										
7.68E+02	-7.08E-01	-5.44E-01										
8.19E+02	-7.01E-01	-5.74E-01										
8.69E+02	-6.96E-01	-6.05E-01										
9.20E+02	-6.90E-01	-6.35E-01										
9.71E+02	-6.85E-01	-6.65E-01										
1.02E+03	-6.79E-01	-6.95E-01										
1.08E+03	-6.74E-01	-7.26E-01										
1.13E+03	-6.69E-01	-7.55E-01										
1.18E+03	-6.64E-01	-7.85E-01										
1.23E+03	-6.60E-01	-8.13E-01										
1.28E+03	-6.55E-01	-8.41E-01										
1.33E+03	-6.50E-01	-8.68E-01										
1.39E+03	-6.46E-01	-8.95E-01										
1.44E+03	-6.42E-01	-9.22E-01										
1.49E+03	-6.38E-01	-9.49E-01										
1.54E+03	-6.33E-01	-9.74E-01										
1.59E+03	-6.29E-01	-1.00E+00										
1.64E+03	-6.25E-01	-1.03E+00										
1.70E+03	-6.21E-01	-1.05E+00										
1.75E+03	-6.17E-01	-1.08E+00										
1.80E+03	-6.13E-01	-1.10E+00										
1.85E+03	-6.09E-01	-1.13E+00										
1.90E+03	-6.05E-01	-1.15E+00										
1.95E+03	-6.02E-01	-1.17E+00										
2.00E+03	-5.98E-01	-1.20E+00										
2.05E+03	-5.95E-01	-1.22E+00										
2.10E+03	-5.91E-01	-1.24E+00										
2.15E+03	-5.88E-01	-1.27E+00										
2.20E+03	-5.84E-01	-1.29E+00										
2.25E+03	-5.81E-01	-1.31E+00										
2.31E+03	-5.78E-01	-1.33E+00										
2.37E+03	-5.74E-01	-1.36E+00										
2.42E+03	-5.70E-01	-1.38E+00										
2.47E+03	-5.67E-01	-1.40E+00										
2.52E+03	-5.64E-01	-1.42E+00										
2.57E+03	-5.60E-01	-1.44E+00										
2.62E+03	-5.57E-01	-1.46E+00										
2.67E+03	-5.54E-01	-1.48E+00										
2.73E+03	-5.51E-01	-1.50E+00										
2.78E+03	-5.47E-01	-1.52E+00										
2.83E+03	-5.44E-01	-1.54E+00										
2.88E+03	-5.41E-01	-1.56E+00										
2.93E+03	-5.38E-01	-1.58E+00										
2.98E+03	-5.34E-01	-1.59E+00										
3.03E+03	-5.31E-01	-1.61E+00										
3.09E+03	-5.28E-01	-1.63E+00										
3.14E+03	-5.25E-01	-1.65E+00										
3.19E+03	-5.22E-01	-1.66E+00										
3.24E+03	-5.19E-01	-1.68E+00										
3.29E+03	-5.16E-01	-1.70E+00										
3.34E+03	-5.13E-01	-1.71E+00										
3.40E+03	-5.10E-01	-1.73E+00										
3.45E+03	-5.07E-01	-1.75E+00										
3.50E+03	-5.04E-01	-1.76E+00										
3.55E+03	-5.01E-01	-1.78E+00										
3.60E+03	-4.98E-01	-1.79E+00										
3.66E+03	-4.95E-01	-1.81E+00										
3.71E+03	-4.92E-01	-1.83E+00										
3.76E+03	-4.89E-01	-1.84E+00										
3.81E+03	-4.87E-01	-1.85E+00										
3.86E+03	-4.84E-01	-1.87E+00										
3.91E+03	-4.81E-01	-1.88E+00										
