I/mA	Ewe/V	P/W						Current density 	Voltage	Power density
2.88E+03	-4.03E-01	-1.16E+00								
2.93E+03	-3.97E-01	-1.17E+00								
2.99E+03	-3.91E-01	-1.17E+00								
3.04E+03	-3.86E-01	-1.17E+00								
3.09E+03	-3.80E-01	-1.17E+00								
3.14E+03	-3.74E-01	-1.17E+00								
3.20E+03	-3.67E-01	-1.17E+00								
3.25E+03	-3.61E-01	-1.17E+00								
3.30E+03	-3.54E-01	-1.17E+00								
3.35E+03	-3.47E-01	-1.16E+00								
3.40E+03	-3.40E-01	-1.16E+00								
3.45E+03	-3.32E-01	-1.15E+00								
3.50E+03	-3.25E-01	-1.14E+00								
3.55E+03	-3.17E-01	-1.13E+00								
3.60E+03	-3.09E-01	-1.11E+00								
3.66E+03	-2.99E-01	-1.09E+00								
3.71E+03	-2.89E-01	-1.07E+00								
3.76E+03	-2.79E-01	-1.05E+00								
3.81E+03	-2.67E-01	-1.02E+00								
3.86E+03	-2.56E-01	-9.89E-01								
3.87E+03	-2.51E-01	-9.72E-01								
0.00E+00	-7.80E-01	0.00E+00								
0.00E+00	-8.79E-01	0.00E+00								
0.00E+00	-8.91E-01	0.00E+00								
0.00E+00	-8.96E-01	0.00E+00								
0.00E+00	-9.00E-01	0.00E+00								
0.00E+00	-9.04E-01	0.00E+00								
4.68E+01	-9.04E-01	-4.23E-02								
9.72E+01	-8.12E-01	-7.90E-02								
1.48E+02	-7.67E-01	-1.13E-01								
2.01E+02	-7.40E-01	-1.48E-01								
2.51E+02	-7.18E-01	-1.80E-01								
3.02E+02	-7.01E-01	-2.12E-01								
3.54E+02	-6.87E-01	-2.43E-01								
4.06E+02	-6.74E-01	-2.74E-01								
4.56E+02	-6.62E-01	-3.02E-01								
5.10E+02	-6.53E-01	-3.33E-01								
5.61E+02	-6.43E-01	-3.61E-01								
6.13E+02	-6.34E-01	-3.89E-01								
6.64E+02	-6.27E-01	-4.16E-01								
7.15E+02	-6.19E-01	-4.42E-01								
7.68E+02	-6.12E-01	-4.70E-01								
8.21E+02	-6.04E-01	-4.96E-01								
8.71E+02	-5.98E-01	-5.21E-01								
9.26E+02	-5.92E-01	-5.48E-01								
9.77E+02	-5.86E-01	-5.72E-01								
1.03E+03	-5.80E-01	-5.98E-01								
1.08E+03	-5.74E-01	-6.22E-01								
1.14E+03	-5.69E-01	-6.46E-01								
1.19E+03	-5.63E-01	-6.69E-01								
1.24E+03	-5.58E-01	-6.91E-01								
1.29E+03	-5.53E-01	-7.13E-01								
1.34E+03	-5.48E-01	-7.36E-01								
1.39E+03	-5.43E-01	-7.57E-01								
1.45E+03	-5.38E-01	-7.78E-01								
1.50E+03	-5.33E-01	-7.98E-01								
1.55E+03	-5.29E-01	-8.19E-01								
1.60E+03	-5.24E-01	-8.38E-01								
1.65E+03	-5.20E-01	-8.57E-01								
1.71E+03	-5.15E-01	-8.78E-01								
1.76E+03	-5.10E-01	-8.97E-01								
1.81E+03	-5.05E-01	-9.15E-01								
1.86E+03	-5.00E-01	-9.32E-01								
1.91E+03	-4.96E-01	-9.50E-01								
1.97E+03	-4.91E-01	-9.66E-01								
