I/mA	Ewe/V	P/W					Current density 	Voltage	Power density		
6.19E+03	-4.35E-01	-2.69E+00									
6.24E+03	-4.33E-01	-2.70E+00									
6.29E+03	-4.30E-01	-2.71E+00									
6.34E+03	-4.28E-01	-2.71E+00									
6.39E+03	-4.25E-01	-2.72E+00									
6.44E+03	-4.23E-01	-2.72E+00									
6.50E+03	-4.20E-01	-2.73E+00									
6.55E+03	-4.18E-01	-2.73E+00									
6.60E+03	-4.15E-01	-2.74E+00									
6.66E+03	-4.12E-01	-2.75E+00									
6.71E+03	-4.09E-01	-2.75E+00									
6.77E+03	-4.07E-01	-2.75E+00									
6.82E+03	-4.04E-01	-2.75E+00									
6.87E+03	-4.02E-01	-2.76E+00									
6.92E+03	-3.99E-01	-2.76E+00									
6.97E+03	-3.96E-01	-2.76E+00									
7.03E+03	-3.94E-01	-2.77E+00									
7.08E+03	-3.91E-01	-2.76E+00									
7.13E+03	-3.88E-01	-2.77E+00									
7.19E+03	-3.85E-01	-2.77E+00									
7.24E+03	-3.83E-01	-2.77E+00									
7.29E+03	-3.80E-01	-2.77E+00									
7.35E+03	-3.77E-01	-2.77E+00									
7.40E+03	-3.74E-01	-2.77E+00									
7.46E+03	-3.71E-01	-2.77E+00									
7.51E+03	-3.68E-01	-2.76E+00									
7.56E+03	-3.65E-01	-2.76E+00									
7.61E+03	-3.63E-01	-2.76E+00									
7.67E+03	-3.60E-01	-2.76E+00									
7.72E+03	-3.57E-01	-2.75E+00									
7.77E+03	-3.53E-01	-2.75E+00									
7.82E+03	-3.51E-01	-2.74E+00									
7.87E+03	-3.48E-01	-2.74E+00									
7.93E+03	-3.45E-01	-2.73E+00									
7.98E+03	-3.42E-01	-2.73E+00									
8.03E+03	-3.39E-01	-2.72E+00									
8.08E+03	-3.36E-01	-2.72E+00									
8.13E+03	-3.33E-01	-2.71E+00									
8.18E+03	-3.30E-01	-2.70E+00									
8.23E+03	-3.27E-01	-2.69E+00									
8.28E+03	-3.24E-01	-2.69E+00									
8.34E+03	-3.21E-01	-2.68E+00									
8.39E+03	-3.18E-01	-2.67E+00									
8.44E+03	-3.15E-01	-2.66E+00									
8.49E+03	-3.12E-01	-2.65E+00									
8.54E+03	-3.08E-01	-2.63E+00									
8.59E+03	-3.06E-01	-2.63E+00									
8.65E+03	-3.02E-01	-2.61E+00									
8.70E+03	-2.99E-01	-2.60E+00									
8.75E+03	-2.95E-01	-2.58E+00									
8.80E+03	-2.92E-01	-2.57E+00									
8.85E+03	-2.89E-01	-2.56E+00									
8.90E+03	-2.85E-01	-2.54E+00									
8.95E+03	-2.82E-01	-2.53E+00									
9.01E+03	-2.79E-01	-2.51E+00									
9.06E+03	-2.75E-01	-2.49E+00									
9.11E+03	-2.72E-01	-2.48E+00									
9.16E+03	-2.68E-01	-2.46E+00									
9.22E+03	-2.64E-01	-2.44E+00									
9.27E+03	-2.61E-01	-2.42E+00									
9.32E+03	-2.56E-01	-2.39E+00									
9.38E+03	-2.53E-01	-2.37E+00									
9.39E+03	-2.51E-01	-2.36E+00									
0.00E+00	-8.39E-01	0.00E+00									
0.00E+00	-9.12E-01	0.00E+00									
0.00E+00	-9.20E-01	0.00E+00									
0.00E+00	-9.25E-01	0.00E+00									
0.00E+00	-9.28E-01	0.00E+00									
0.00E+00	-9.32E-01	0.00E+00									
3.35E+01	-9.32E-01	-3.13E-02									
8.40E+01	-9.10E-01	-7.64E-02									
1.34E+02	-8.53E-01	-1.15E-01									
1.85E+02	-8.31E-01	-1.53E-01									
2.36E+02	-8.15E-01	-1.93E-01									
2.88E+02	-8.03E-01	-2.31E-01									
3.39E+02	-7.95E-01	-2.69E-01									
3.89E+02	-7.87E-01	-3.06E-01									
4.44E+02	-7.80E-01	-3.47E-01									
4.95E+02	-7.73E-01	-3.82E-01									
5.46E+02	-7.67E-01	-4.19E-01									
5.98E+02	-7.62E-01	-4.56E-01									
6.51E+02	-7.56E-01	-4.92E-01									
7.02E+02	-7.51E-01	-5.27E-01									
7.53E+02	-7.47E-01	-5.62E-01									
8.03E+02	-7.42E-01	-5.96E-01									
8.54E+02	-7.38E-01	-6.30E-01									
9.05E+02	-7.34E-01	-6.64E-01									
9.56E+02	-7.30E-01	-6.98E-01									
1.01E+03	-7.26E-01	-7.35E-01									
1.06E+03	-7.22E-01	-7.68E-01									
1.11E+03	-7.18E-01	-8.00E-01									
1.17E+03	-7.14E-01	-8.33E-01									
1.22E+03	-7.11E-01	-8.65E-01									
1.27E+03	-7.07E-01	-8.97E-01									
1.32E+03	-7.03E-01	-9.31E-01									
1.37E+03	-7.00E-01	-9.61E-01									
1.42E+03	-6.96E-01	-9.92E-01									
1.47E+03	-6.93E-01	-1.02E+00									
1.52E+03	-6.90E-01	-1.05E+00									
1.58E+03	-6.86E-01	-1.08E+00									
1.63E+03	-6.83E-01	-1.11E+00									
1.68E+03	-6.80E-01	-1.14E+00									
1.73E+03	-6.77E-01	-1.17E+00									
1.78E+03	-6.74E-01	-1.20E+00									
1.84E+03	-6.70E-01	-1.23E+00									
1.89E+03	-6.67E-01	-1.26E+00									
1.94E+03	-6.64E-01	-1.29E+00									
1.99E+03	-6.61E-01	-1.32E+00									
2.04E+03	-6.58E-01	-1.35E+00									
2.09E+03	-6.55E-01	-1.37E+00									
2.15E+03	-6.52E-01	-1.40E+00									
2.20E+03	-6.49E-01	-1.43E+00									
2.25E+03	-6.47E-01	-1.45E+00									
2.30E+03	-6.44E-01	-1.48E+00									
2.35E+03	-6.41E-01	-1.51E+00									
2.41E+03	-6.38E-01	-1.54E+00									
2.46E+03	-6.35E-01	-1.56E+00									
2.51E+03	-6.32E-01	-1.59E+00									
2.56E+03	-6.30E-01	-1.61E+00									
2.61E+03	-6.27E-01	-1.64E+00									
2.66E+03	-6.24E-01	-1.66E+00									
2.71E+03	-6.21E-01	-1.69E+00									
2.76E+03	-6.19E-01	-1.71E+00									
2.82E+03	-6.16E-01	-1.73E+00									
2.87E+03	-6.14E-01	-1.76E+00									
2.92E+03	-6.11E-01	-1.78E+00									
2.97E+03	-6.08E-01	-1.81E+00									
3.02E+03	-6.06E-01	-1.83E+00									
3.07E+03	-6.03E-01	-1.85E+00									
3.13E+03	-6.00E-01	-1.88E+00									
3.18E+03	-5.98E-01	-1.90E+00									
3.23E+03	-5.95E-01	-1.92E+00									
3.28E+03	-5.93E-01	-1.94E+00									
3.33E+03	-5.90E-01	-1.96E+00									
3.38E+03	-5.87E-01	-1.99E+00									
3.43E+03	-5.85E-01	-2.01E+00									
3.48E+03	-5.82E-01	-2.03E+00									
3.54E+03	-5.80E-01	-2.05E+00									
3.59E+03	-5.77E-01	-2.07E+00									
3.64E+03	-5.75E-01	-2.09E+00									
3.70E+03	-5.72E-01	-2.12E+00									
3.75E+03	-5.70E-01	-2.14E+00									
3.80E+03	-5.68E-01	-2.16E+00									
3.85E+03	-5.65E-01	-2.18E+00									
3.90E+03	-5.62E-01	-2.19E+00									
3.95E+03	-5.60E-01	-2.21E+00									
4.00E+03	-5.58E-01	-2.23E+00									
4.05E+03	-5.55E-01	-2.25E+00									
4.11E+03	-5.53E-01	-2.27E+00									
4.16E+03	-5.51E-01	-2.29E+00									
4.21E+03	-5.48E-01	-2.31E+00									
4.26E+03	-5.46E-01	-2.33E+00									
4.32E+03	-5.43E-01	-2.35E+00									
4.37E+03	-5.41E-01	-2.36E+00									
4.42E+03	-5.39E-01	-2.38E+00									
4.47E+03	-5.36E-01	-2.40E+00									
4.53E+03	-5.34E-01	-2.42E+00									
4.58E+03	-5.31E-01	-2.43E+00									
4.63E+03	-5.29E-01	-2.45E+00									
4.69E+03	-5.27E-01	-2.47E+00									
4.74E+03	-5.24E-01	-2.49E+00									
4.80E+03	-5.22E-01	-2.50E+00									
4.85E+03	-5.19E-01	-2.52E+00									
4.90E+03	-5.17E-01	-2.53E+00									
4.95E+03	-5.14E-01	-2.55E+00									
5.01E+03	-5.12E-01	-2.57E+00									
5.06E+03	-5.10E-01	-2.58E+00									
5.12E+03	-5.07E-01	-2.60E+00									
5.17E+03	-5.05E-01	-2.61E+00									
5.23E+03	-5.03E-01	-2.63E+00									
5.28E+03	-5.00E-01	-2.64E+00									
5.33E+03	-4.98E-01	-2.65E+00									
5.38E+03	-4.96E-01	-2.67E+00									
5.43E+03	-4.93E-01	-2.68E+00									
5.49E+03	-4.91E-01	-2.69E+00									
